gene	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	average
PPM1A	13.53162147	11.80016073	19.36293531	6.9800852	9.096965105	20.92848399	13.40216222	9.397040985	15.64221764	12.19913733	7.179392431	17.06487704	6.889394093	11.85894834	14.07062571	12.24082567	22.36366202	10.36510665	9.532496496	15.45555866	12.69542448	12.27116867	20.2159802	8.136702343	11.22767894	12.08758981	8.543851784	15.43115021	15.12415215	15.01914555	6.583271061	17.13801299	12.55082883	10.70837813	17.2668387	5.337877585	8.807856156	8.403182211	13.77286973	14.26122131	13.115433	10.32884113	18.28407164	12.3465448	13.19302826	13.48195005	34.35282971	10.99798059	10.78070324	8.762483625	16.25293852	17.21167516	16.7028222	13.22181471
RUNDC2A	2.22488161	2.341147682	4.883834514	2.356849459	2.018743575	2.933482888	4.19763325	2.595030948	3.113404476	2.154372511	2.122936262	3.255147809	2.795605098	3.603904301	2.239690298	1.416415999	3.220857717	2.487449523	2.382661013	2.673755669	2.994197169	3.251332979	6.497028518	2.486693107	3.575042702	2.054512466	2.359794587	1.921375113	3.664591638	2.261644916	1.765743316	2.248406184	4.282123046	2.32830061	2.925779708	1.484957837	1.570540902	1.593075422	1.872077508	2.552940792	2.82597979	2.365189169	2.782703064	2.552850174	2.018005319	3.928714426	6.588431737	1.49084963	2.660613718	2.783226739	1.993161908	3.461226987	6.343718222	2.83967234
SDC2	10.29185407	6.218615355	26.08405036	19.31016632	74.85972385	160.4150506	12.4815179	8.553128194	17.06164834	51.57456403	30.77051157	17.16602737	56.89843979	17.21358345	26.60217433	18.00719194	61.32420499	13.60811196	20.16793897	17.28866458	15.98740031	20.88469658	17.84529046	10.05222913	32.74257035	8.305642769	7.498447963	10.2175127	36.0216787	5.610080662	7.258001441	11.18849483	59.47153317	6.725254812	31.47956243	20.04867778	20.82198713	158.9892687	3.625906119	24.35360803	20.4621818	10.31279872	46.93502536	27.48127087	3.119369047	11.89269065	46.99495629	19.31021552	21.99919493	17.47428433	16.53257248	38.48696395	2.400838447	27.51749763
SBNO1	18.92830153	23.3064518	14.7337589	9.965006126	24.2028136	38.01374294	30.57865496	6.843078545	24.01902845	13.97896387	10.70477689	32.14873385	14.02731854	26.85019199	20.34358853	24.28404444	17.46651069	17.13063403	9.461638649	12.50124892	26.59799868	15.75222131	17.83229245	16.93500265	21.7672596	22.28335162	11.47164895	18.75360027	28.52355392	25.71623675	12.85916834	44.10374901	23.32738636	13.27219081	11.02887091	4.406126978	8.700551361	8.178117298	12.19205898	14.81889565	7.877528511	22.26396515	14.44452707	18.48522215	12.98521615	20.14881615	50.11897993	5.881331962	15.63080263	14.46622243	5.658420695	21.38965749	67.78219719	19.34229541
NDUFA6	69.01332074	68.12872201	83.43630733	97.39935321	51.59203194	87.00495155	76.7413074	116.9174499	86.0374988	84.46601118	140.4479299	76.91511933	99.58098666	75.24506351	108.8010943	76.51055177	64.27049738	112.3380705	87.66918304	89.60157784	42.37835844	116.4658452	110.431434	75.18845441	70.80924009	141.624427	224.973297	72.41817344	92.89437064	65.97730707	81.3078838	142.728854	107.0343756	85.99673514	79.64955697	119.6546268	56.50650225	193.0978334	70.51954137	60.70501189	54.49146502	74.87138163	90.58443527	56.63670956	82.01342998	92.8522888	208.7635837	215.1034339	128.7994402	93.20670578	66.31738566	98.74320091	143.4843779	97.51597538
CHUK	13.81631751	14.83870387	28.42707976	8.182150644	11.99611702	19.63812801	19.73370608	7.065684492	7.379322582	10.83871056	7.725631113	12.10044023	13.25127212	8.531865735	17.80122885	9.388095398	6.20984341	16.67197632	16.80834647	8.684854326	22.39793712	11.76444645	24.56342457	13.52320379	10.41259053	26.63024604	6.302854469	13.05834748	10.71592779	8.508258257	7.414667875	13.89741093	15.8176959	7.420643138	12.34644778	7.338216843	8.776416055	7.13627548	6.478981909	15.9456577	14.22232322	27.12991857	11.16819575	22.12241943	14.53478294	5.455073219	33.05381254	6.803556054	18.06025577	16.36915344	8.497402574	11.71793304	23.33495187	13.62280949
RNF180	5.11414336	0.698075955	1.38360864	1.757537429	2.014519914	1.34974572	1.929478547	6.335046484	6.599850781	3.804109097	2.479258505	2.371120653	0.218077472	3.463440334	5.659120556	0.559184646	0.439042306	1.018197713	0.568375225	1.511677341	1.268687071	5.045710096	1.979199042	10.54066694	1.662247812	0.359844488	1.539553713	1.408998734	3.764720076	8.064384713	2.829425283	5.897507229	4.478229906	3.297655417	4.161398491	1.791227035	0.738589581	0.289022167	0.196509096	2.169590116	1.558490342	1.234370554	4.065427369	0.351077904	0.225488215	2.424731549	10.21341627	0.584611683	0.48427672	2.087782839	5.077361354	1.664396869	0.415028039	2.663079951
AKT3	6.884755166	5.887754981	102.5419839	41.93614455	37.64420643	9.069120346	14.38571167	9.050720018	17.92402776	27.04954849	10.06124347	11.56036699	8.325683496	13.16039735	38.78046168	45.88660455	6.501292889	8.563960351	5.621705723	3.24393321	23.72293448	20.59476211	11.94063956	14.83058576	15.66787948	3.57934384	6.635825034	4.447632296	30.14235357	15.73052899	5.740278516	5.414205704	41.5033332	3.118614914	41.7553398	10.96032842	66.1308381	1.963332678	7.272171797	20.7220501	13.99292774	6.008044331	24.27275678	44.60665831	14.92877941	17.44885217	96.33544755	9.772999677	6.202010721	14.88141634	12.57240634	13.1921464	10.88661975	20.01988051
NOL4	0	0	9.463712471	0.04982104	0.038513173	0	0.077373509	0	0.047281103	0	0.00870988	0.016109218	0	0.046931428	0.010735765	0.062119751	0	0.007093431	0.013349755	0	0	0.209297806	0.019216893	0.047029112	0.015982173	0.008217099	0.024106922	0.007062736	0.081638592	1.936245301	0.072185329	0.085221116	0.007985676	0	0.189613321	0.064021965	0.052797278	0	0	0.156795098	0.086566247	0	0	0.301727465	0.007129461	0.054116392	48.68158979	1.166520184	0	0	10.25794239	0.005948881	0	1.384541656
DDX24	69.02743169	68.50538378	99.45510135	60.12609182	66.48746636	107.5920602	110.4985204	41.05723663	79.38495995	81.58425383	40.3613222	75.33597994	48.90782868	54.90880032	87.35934389	60.84937958	78.16376322	59.68822323	87.28147475	56.16009058	140.6851045	79.95305277	45.41624482	48.98007708	69.64489981	63.39777709	51.67906106	74.04182911	116.437665	83.94741186	84.87244158	93.33114256	80.85045522	60.03741768	88.24047542	42.16880913	60.49262267	57.60262815	68.28496771	92.72228541	77.10930374	77.53528158	67.45968195	66.74202412	99.89931497	67.40646435	230.5359241	62.18812004	95.12683986	81.59791769	60.49621595	47.04568085	95.82288372	76.68842894
