gene	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	average
TUBE1	11.78407299	5.410320177	5.181676822	13.16598182	9.818339349	14.13714985	4.922478875	11.18583333	11.21647578	11.89950029	7.707691356	9.675410968
SPTB	1.91825057	0.374205196	0.97642431	1.155447259	2.013894575	1.330522362	1.964244624	1.503977429	1.363095355	1.934756796	1.104784965	1.421782131
TRPC4	4.688896923	0.467859836	0.751644382	4.60622415	2.682567415	6.768453902	0.479692496	1.363921391	4.66890047	3.209383056	0.481616642	2.742650969
ULK2	16.62588027	3.708300676	2.833391623	13.21223745	14.05975733	12.40623073	3.849527692	7.765687367	16.49217226	11.05602952	4.567260152	9.688770461
TRIM62	5.368773648	8.368248086	9.736066093	3.218608074	4.193567618	2.115848301	6.506277425	6.413708698	3.58345478	3.718929856	9.069649749	5.66301203
RNF10	110.8408851	68.72309818	81.11388332	100.2027961	102.922119	96.60283842	83.70547369	81.14675115	96.86825474	93.76284543	70.36869631	89.65978559
PLEKHA5	39.71433548	8.066661393	12.53200203	35.4665117	36.7408864	34.46317726	17.84128482	33.147725	34.91560116	31.3945823	17.12083307	27.40032733
KIF1B	35.90237457	5.64464058	17.7787433	40.29955352	36.43897896	31.92347819	11.36114329	15.51969491	32.05974412	21.18731584	10.73198948	23.53160516
IPO8	44.49907523	15.59991298	14.81886869	38.37520027	38.72486441	36.34032418	14.19271494	42.05196089	38.79287964	35.42248438	23.72751776	31.14052758
FGD6	10.63345413	1.176939557	1.776079894	9.299727307	7.091067025	7.595579109	3.197228315	8.096486962	9.458969756	5.823619885	2.540579104	6.062702822
CNTLN	8.502475438	1.778530742	1.695498579	8.423881655	7.327798271	9.663218035	2.361928544	5.634925723	10.09643846	6.708914684	1.341754469	5.775942236
RPP14	17.82897679	10.85619843	10.18160273	17.60334283	17.97171215	14.92482825	13.39548009	17.60684925	15.60662513	16.39564014	10.27103926	14.78566319
TACC1	206.0335291	31.67222603	25.65426259	160.585923	162.8568055	189.3185731	29.20252828	67.0539479	168.9346889	114.822314	20.43224253	106.9606401
DDX6	60.78372664	27.54664611	37.91282395	55.95805285	61.41136143	56.37899432	40.30870646	58.83297454	53.53703803	59.08127547	39.01086475	50.06931496
C10orf137	7.163018886	2.295162491	3.279713302	7.167130982	6.045874076	4.878048466	3.254986386	5.80432776	6.176066058	5.877805921	4.113691215	5.09598414
