mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda
VPS13B,hsa-mir-3653,0.393116107,0.003592193,0.067908886,-0.903445298,0.000137327,0.02676672,targetprofiler-NO,targetscan-Yes,miRanda-NO
TWSG1,hsa-mir-3653,0.393922939,0.003518033,0.066881862,-0.770469913,0.005521017,0.097814398,targetprofiler-NO,targetscan-Yes,miRanda-NO
NAA25,hsa-mir-93,0.394161756,0.003496343,0.066584469,-0.850497509,0.000907163,0.05362404,targetprofiler-NO,targetscan-Yes,miRanda-NO
EML1,hsa-mir-199b,0.394249827,0.003488374,0.066470766,-0.787772014,0.00398629,0.087720914,targetprofiler-NO,targetscan-Yes,miRanda-NO
TSEN2,hsa-mir-629,0.394259165,0.00348753,0.066457555,-0.822624924,0.00187643,0.068343652,targetprofiler-NO,targetscan-Yes,miRanda-NO
NEGR1,hsa-mir-25,0.394477989,0.003467804,0.066186304,-0.851020066,0.000893689,0.053329438,targetprofiler-NO,targetscan-Yes,miRanda-NO
MRPL35,hsa-mir-505,0.394665544,0.003450974,0.065957571,-0.770862054,0.00548206,0.097586373,targetprofiler-NO,targetscan-Yes,miRanda-NO
GTF2H5,hsa-mir-345,0.395214318,0.003402147,0.065279592,-0.81979734,0.002006125,0.069880273,targetprofiler-NO,targetscan-Yes,miRanda-NO
TSEN2,hsa-mir-940,0.395348445,0.003390306,0.065109656,-0.810636234,0.002472595,0.074950753,targetprofiler-NO,targetscan-Yes,miRanda-NO
PTPN11,hsa-mir-185,0.395577415,0.003370176,0.064826777,-0.834423058,0.001401684,0.062069251,targetprofiler-Yes,targetscan-Yes,miRanda-NO
NUBPL,hsa-mir-590,0.396086236,0.003325821,0.064198318,-0.792890731,0.003600026,0.084767336,targetprofiler-NO,targetscan-Yes,miRanda-NO
COPS6,hsa-mir-345,0.39635957,0.003302207,0.063873561,-0.797237811,0.003294384,0.082309475,targetprofiler-NO,targetscan-NO,miRanda-Yes
DCLK2,hsa-mir-484,0.396773346,0.003266743,0.063373228,-0.791702926,0.003687074,0.08545024,targetprofiler-Yes,targetscan-NO,miRanda-NO
ULK2,hsa-mir-381,0.397599381,0.003196949,0.06238936,-0.816569693,0.002162222,0.071596447,targetprofiler-Yes,targetscan-NO,miRanda-NO
MYSM1,hsa-mir-107,0.397702745,0.003188309,0.062268903,-0.795707989,0.003399658,0.083150294,targetprofiler-Yes,targetscan-NO,miRanda-NO
KLF12,hsa-mir-25,0.397763792,0.003183215,0.062196421,-0.78903582,0.003888202,0.087004251,targetprofiler-NO,targetscan-Yes,miRanda-NO
KIAA1377,hsa-mir-299,0.397932084,0.003169212,0.06199927,-0.773682089,0.005207835,0.095957023,targetprofiler-NO,targetscan-Yes,miRanda-NO
REEP2,hsa-mir-299,0.398774557,0.003099927,0.061007933,-0.821639854,0.001920879,0.068872349,targetprofiler-NO,targetscan-Yes,miRanda-NO
ARHGEF37,hsa-mir-27a,0.399249575,0.003061455,0.060446742,-0.768304941,0.005739771,0.099146868,targetprofiler-Yes,targetscan-NO,miRanda-NO
PTPN21,hsa-mir-30d,0.399657896,0.003028722,0.059970287,-0.776105629,0.004980354,0.094531465,targetprofiler-Yes,targetscan-NO,miRanda-NO
CHUK,hsa-mir-382,0.399726847,0.003023226,0.059893319,-0.770784477,0.005489751,0.09763157,targetprofiler-NO,targetscan-Yes,miRanda-NO
SMEK2,hsa-mir-939,0.399795442,0.003017766,0.059815323,-0.920550914,5.86E-05,0.018651762,targetprofiler-Yes,targetscan-Yes,miRanda-NO
SLC25A46,hsa-mir-18a,0.400575704,0.002956276,0.058923796,-0.808660464,0.002582952,0.076041905,targetprofiler-Yes,targetscan-NO,miRanda-NO
DLGAP4,hsa-mir-1266,0.400605914,0.002953918,0.058889032,-0.790858546,0.003749895,0.08592288,targetprofiler-Yes,targetscan-Yes,miRanda-NO
WDR35,hsa-mir-186,0.400800289,0.002938784,0.058660608,-0.806673594,0.002697585,0.077105402,targetprofiler-NO,targetscan-Yes,miRanda-NO
TMEM56,hsa-mir-25,0.400897654,0.002931229,0.05855134,-0.767995727,0.005771527,0.099331087,targetprofiler-NO,targetscan-Yes,miRanda-NO
DDX51,hsa-mir-590,0.400926226,0.002929015,0.058518982,-0.848239708,0.000967146,0.054755858,targetprofiler-NO,targetscan-Yes,miRanda-NO
UBXN7,hsa-mir-1254,0.401522009,0.002883191,0.057840636,-0.7895479,0.003848971,0.086693903,targetprofiler-NO,targetscan-Yes,miRanda-NO
RRM2B,hsa-mir-3653,0.401851758,0.002858102,0.057471133,-0.798617769,0.003201515,0.081547381,targetprofiler-NO,targetscan-Yes,miRanda-NO
LPHN1,hsa-mir-1226,0.402076413,0.00284112,0.057216563,-0.79288914,0.003600142,0.084767995,targetprofiler-Yes,targetscan-Yes,miRanda-NO
KCNK3,hsa-mir-132,0.402325002,0.002822433,0.056942775,-0.77289738,0.005283103,0.096407643,targetprofiler-NO,targetscan-Yes,miRanda-NO
TMEM170B,hsa-mir-299,0.402797996,0.002787178,0.056416436,-0.812144941,0.00239072,0.074089163,targetprofiler-NO,targetscan-Yes,miRanda-NO
