mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda
PTPN11,hsa-mir-93,0.376318208,0.005482933,0.091998427,-0.774567792,0.005123831,0.095427033,targetprofiler-NO,targetscan-Yes,miRanda-NO
CHCHD3,hsa-mir-335,0.376721133,0.005428963,0.091364791,-0.794948011,0.003452873,0.083586852,targetprofiler-Yes,targetscan-Yes,miRanda-NO
SBNO1,hsa-mir-382,0.376807181,0.005417498,0.091230692,-0.782556793,0.004410524,0.090770952,targetprofiler-NO,targetscan-Yes,miRanda-NO
SGCE,hsa-mir-221,0.377041927,0.005386328,0.090861513,-0.843348229,0.001107293,0.057286519,targetprofiler-NO,targetscan-NO,miRanda-Yes
TRAPPC6B,hsa-mir-136,0.377059332,0.005384023,0.090833471,-0.91476161,7.97E-05,0.021329264,targetprofiler-NO,targetscan-Yes,miRanda-NO
MTR,hsa-mir-382,0.37713168,0.005374451,0.09071863,-0.922653703,5.21E-05,0.017750008,targetprofiler-NO,targetscan-Yes,miRanda-NO
EP400,hsa-mir-93,0.377157542,0.005371034,0.090673015,-0.767604586,0.005811881,0.099568521,targetprofiler-NO,targetscan-Yes,miRanda-NO
TRAPPC6B,hsa-mir-380,0.377234529,0.005360871,0.090555997,-0.797808503,0.003255738,0.081983638,targetprofiler-NO,targetscan-Yes,miRanda-NO
EIF5A2,hsa-mir-221,0.377267584,0.005356512,0.090502687,-0.853627589,0.000828693,0.051932756,targetprofiler-NO,targetscan-Yes,miRanda-NO
FYN,hsa-mir-410,0.377392624,0.005340054,0.090305409,-0.773118358,0.005261827,0.096276867,targetprofiler-NO,targetscan-NO,miRanda-Yes
MED13L,hsa-mir-345,0.377496601,0.005326401,0.090140884,-0.788585762,0.003922925,0.087253524,targetprofiler-Yes,targetscan-NO,miRanda-NO
CAMTA1,hsa-mir-92b,0.377631709,0.005308707,0.089927415,-0.780887419,0.004553104,0.091749087,targetprofiler-Yes,targetscan-NO,miRanda-NO
ITSN2,hsa-mir-3653,0.377953083,0.005266825,0.089426482,-0.836896975,0.001314825,0.060772385,targetprofiler-Yes,targetscan-NO,miRanda-NO
CCDC50,hsa-mir-221,0.378164679,0.005239407,0.089092791,-0.828803359,0.001614923,0.065098508,targetprofiler-Yes,targetscan-Yes,miRanda-Yes
ACTR1A,hsa-mir-15b,0.378978721,0.005135092,0.087830507,-0.858082712,0.000725961,0.049591186,targetprofiler-Yes,targetscan-NO,miRanda-NO
KLHDC10,hsa-mir-1254,0.379135542,0.005115207,0.087595562,-0.820216048,0.00198651,0.069648494,targetprofiler-NO,targetscan-Yes,miRanda-NO
FYN,hsa-mir-136,0.379438644,0.005076964,0.087123709,-0.862555001,0.000632802,0.047249193,targetprofiler-Yes,targetscan-NO,miRanda-NO
ZNF532,hsa-mir-410,0.379852181,0.005025191,0.08648427,-0.791306318,0.003716483,0.08567104,targetprofiler-NO,targetscan-Yes,miRanda-NO
PCM1,hsa-mir-590,0.379923675,0.005016288,0.086373503,-0.778782973,0.004737656,0.092965569,targetprofiler-NO,targetscan-Yes,miRanda-NO
RNMT,hsa-mir-939,0.380113942,0.00499266,0.086077826,-0.89155837,0.000227495,0.032583246,targetprofiler-Yes,targetscan-Yes,miRanda-NO
ZNF532,hsa-mir-299,0.38021307,0.004980389,0.085931423,-0.851131308,0.000890841,0.053261202,targetprofiler-NO,targetscan-Yes,miRanda-NO
SPOPL,hsa-mir-584,0.381041143,0.004878911,0.084668975,-0.791767869,0.003682275,0.085406647,targetprofiler-Yes,targetscan-Yes,miRanda-NO
KIAA0368,hsa-mir-221,0.381083019,0.004873828,0.084604079,-0.801609466,0.003006863,0.079926122,targetprofiler-NO,targetscan-Yes,miRanda-NO
MTR,hsa-mir-136,0.381098164,0.004871991,0.084583619,-0.85275078,0.000850137,0.052384294,targetprofiler-NO,targetscan-Yes,miRanda-NO
TRAPPC6B,hsa-mir-323,0.381111845,0.004870332,0.084562935,-0.797688136,0.003263861,0.082056379,targetprofiler-NO,targetscan-Yes,miRanda-NO
HBS1L,hsa-mir-25,0.38123372,0.004855573,0.084378488,-0.814452107,0.002269442,0.072792012,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZNF532,hsa-mir-382,0.381380903,0.004837803,0.084158475,-0.89896069,0.000167335,0.028994076,targetprofiler-Yes,targetscan-Yes,miRanda-NO
NAP1L1,hsa-mir-299,0.381432538,0.004831582,0.084080571,-0.821168522,0.001942423,0.069118755,targetprofiler-NO,targetscan-Yes,miRanda-NO
DENND5A,hsa-mir-155,0.381696835,0.00479985,0.083680088,-0.782807547,0.004389396,0.090627641,targetprofiler-NO,targetscan-Yes,miRanda-NO
EIF5A2,hsa-mir-27a,0.381716816,0.004797458,0.083649959,-0.80851798,0.00259105,0.076127234,targetprofiler-Yes,targetscan-NO,miRanda-NO
TRAPPC6B,hsa-mir-412,0.381845761,0.00478205,0.083452566,-0.804837191,0.002806862,0.0781112,targetprofiler-NO,targetscan-Yes,miRanda-NO
NAP1L1,hsa-mir-590,0.381964447,0.004767906,0.083275944,-0.875808482,0.000409039,0.040474959,targetprofiler-NO,targetscan-Yes,miRanda-NO
SOCS5,hsa-mir-221,0.382074269,0.004754852,0.083115626,-0.822471386,0.001883307,0.068422337,targetprofiler-NO,targetscan-Yes,miRanda-NO
STXBP6,hsa-mir-130a,0.382339495,0.004723453,0.082729309,-0.780384203,0.004596743,0.092033201,targetprofiler-Yes,targetscan-NO,miRanda-NO
PDHA1,hsa-mir-590,0.382381464,0.004718501,0.082664993,-0.816031517,0.002189106,0.071877895,targetprofiler-NO,targetscan-Yes,miRanda-NO
EIF5,hsa-mir-323,0.382571761,0.004696106,0.082386388,-0.774536395,0.005126792,0.095440691,targetprofiler-NO,targetscan-Yes,miRanda-NO
UPF3B,hsa-mir-130a,0.38279829,0.004669569,0.082059995,-0.82920827,0.001598795,0.064882389,targetprofiler-NO,targetscan-Yes,miRanda-NO
PLEKHA5,hsa-mir-141,0.38308366,0.004636326,0.081640704,-0.880968898,0.000340553,0.0378526,targetprofiler-NO,targetscan-Yes,miRanda-NO
NAP1L1,hsa-mir-495,0.383154646,0.004628089,0.081538704,-0.772442496,0.0053271,0.096669385,targetprofiler-Yes,targetscan-Yes,miRanda-NO
FAM38A,hsa-mir-152,0.383283152,0.004613211,0.081351176,-0.776919949,0.004905589,0.094043261,targetprofiler-NO,targetscan-NO,miRanda-Yes
RNF10,hsa-mir-141,0.383757159,0.004558692,0.080661564,-0.814712931,0.002256026,0.072650288,targetprofiler-NO,targetscan-Yes,miRanda-NO
AGK,hsa-mir-651,0.383973642,0.004533982,0.080353794,-0.83550711,0.00136311,0.061503216,targetprofiler-Yes,targetscan-Yes,miRanda-NO
TSEN2,hsa-mir-185,0.384104266,0.004519129,0.080167353,-0.772373346,0.005333812,0.096705708,targetprofiler-NO,targetscan-Yes,miRanda-NO
TRPC4,hsa-mir-381,0.384254928,0.004502051,0.079953915,-0.771903493,0.005379581,0.096994294,targetprofiler-NO,targetscan-NO,miRanda-Yes
BCAP29,hsa-mir-627,0.384810087,0.00443961,0.079156948,-0.775288271,0.005056238,0.094999213,targetprofiler-NO,targetscan-Yes,miRanda-NO
SPAG8,hsa-mir-382,0.384845065,0.004435702,0.079105679,-0.861575469,0.000652386,0.047753481,targetprofiler-NO,targetscan-NO,miRanda-Yes
CCDC50,hsa-mir-222,0.385186223,0.004397738,0.078612733,-0.839011934,0.001243827,0.059610141,targetprofiler-Yes,targetscan-NO,miRanda-Yes
CELF1,hsa-mir-382,0.385283734,0.00438694,0.07847674,-0.86002061,0.000684407,0.048529176,targetprofiler-NO,targetscan-Yes,miRanda-NO
EPHA7,hsa-mir-382,0.38528544,0.004386751,0.07847486,-0.918029767,6.72E-05,0.0197543,targetprofiler-NO,targetscan-Yes,miRanda-NO
SNAPC3,hsa-mir-410,0.38557933,0.004354349,0.078060966,-0.800462578,0.003080414,0.080516537,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZDHHC17,hsa-mir-299,0.385973869,0.00431118,0.077500009,-0.793814958,0.003533355,0.084239225,targetprofiler-NO,targetscan-Yes,miRanda-NO
MAPRE1,hsa-mir-939,0.386254004,0.004280758,0.077106351,-0.772946904,0.005278329,0.096379004,targetprofiler-Yes,targetscan-Yes,miRanda-NO
PRDM11,hsa-mir-25,0.386741727,0.004228242,0.076426956,-0.790290476,0.003792603,0.086239794,targetprofiler-Yes,targetscan-NO,miRanda-NO
SNPH,hsa-mir-629,0.386840272,0.004217701,0.076285552,-0.815694096,0.002206087,0.07209762,targetprofiler-NO,targetscan-Yes,miRanda-NO
TCOF1,hsa-mir-484,0.386973268,0.00420351,0.076100912,-0.786145861,0.004115179,0.088670433,targetprofiler-NO,targetscan-NO,miRanda-Yes
NAP1L1,hsa-mir-410,0.387078347,0.004192328,0.075951467,-0.82926965,0.001596361,0.064848227,targetprofiler-NO,targetscan-Yes,miRanda-NO
KCTD15,hsa-mir-132,0.387107817,0.004189197,0.075912323,-0.794917411,0.003455029,0.083599017,targetprofiler-NO,targetscan-Yes,miRanda-NO
FAM168B,hsa-mir-1254,0.387250196,0.004174097,0.075713978,-0.787855521,0.003979753,0.087662928,targetprofiler-NO,targetscan-Yes,miRanda-NO
NT5DC3,hsa-mir-1301,0.387469033,0.004150983,0.075410807,-0.77018628,0.005549321,0.098001633,targetprofiler-NO,targetscan-Yes,miRanda-NO
NAV1,hsa-mir-454,0.387653038,0.004131634,0.07516327,-0.824573671,0.001790766,0.067309053,targetprofiler-Yes,targetscan-NO,miRanda-NO
BVES,hsa-mir-1266,0.387736251,0.00412291,0.075049809,-0.824453153,0.001795977,0.067369532,targetprofiler-NO,targetscan-Yes,miRanda-NO
SUPT16H,hsa-mir-1226,0.387900662,0.004105722,0.07482573,-0.843435618,0.001104663,0.057251917,targetprofiler-Yes,targetscan-Yes,miRanda-NO
EPHA7,hsa-mir-15b,0.388198724,0.004074721,0.074418175,-0.777310876,0.004869993,0.093810111,targetprofiler-Yes,targetscan-NO,miRanda-NO
SNAPC3,hsa-mir-377,0.388290836,0.004065182,0.074290335,-0.785609534,0.004158356,0.08898057,targetprofiler-NO,targetscan-Yes,miRanda-NO
GBAS,hsa-mir-299,0.388333062,0.004060816,0.074236153,-0.790948739,0.003743147,0.085870051,targetprofiler-NO,targetscan-Yes,miRanda-NO
USP16,hsa-mir-93,0.388505041,0.004043076,0.073997408,-0.823350738,0.001844174,0.067977108,targetprofiler-NO,targetscan-Yes,miRanda-Yes
CAMTA1,hsa-mir-1266,0.388635201,0.004029696,0.073823154,-0.808402005,0.002597655,0.076196092,targetprofiler-Yes,targetscan-Yes,miRanda-NO
EPHA7,hsa-mir-299,0.388897055,0.004002894,0.073468254,-0.859102535,0.000703863,0.04902819,targetprofiler-NO,targetscan-Yes,miRanda-NO
KCNA6,hsa-mir-382,0.38922363,0.003969689,0.073015459,-0.842412022,0.001135768,0.057781735,targetprofiler-NO,targetscan-Yes,miRanda-NO
METAP2,hsa-mir-382,0.389934306,0.003898267,0.072059274,-0.820215404,0.00198654,0.069649212,targetprofiler-NO,targetscan-NO,miRanda-Yes
ACTR1A,hsa-mir-345,0.389990564,0.003892661,0.071983263,-0.829832612,0.001574164,0.064524298,targetprofiler-NO,targetscan-Yes,miRanda-NO
SIRT1,hsa-mir-590,0.390077155,0.003884048,0.071866382,-0.782355665,0.004427525,0.090874283,targetprofiler-NO,targetscan-Yes,miRanda-NO
PDHA1,hsa-mir-221,0.390188064,0.00387304,0.071717003,-0.779623892,0.004663261,0.092480148,targetprofiler-NO,targetscan-Yes,miRanda-NO
PTPN11,hsa-mir-345,0.390428567,0.003849263,0.071397438,-0.82149264,0.001927589,0.068955925,targetprofiler-NO,targetscan-Yes,miRanda-NO
PRKAR1B,hsa-mir-140,0.390698287,0.003822752,0.071034617,-0.773140795,0.00525967,0.096264232,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZDHHC17,hsa-mir-382,0.390728793,0.003819764,0.070994878,-0.954456512,5.03E-06,0.005825791,targetprofiler-NO,targetscan-Yes,miRanda-NO
FNIP1,hsa-mir-136,0.390848408,0.003808066,0.070840627,-0.846189622,0.001024152,0.055840329,targetprofiler-NO,targetscan-Yes,miRanda-NO
ANK2,hsa-mir-106b,0.390969948,0.003796212,0.070678661,-0.772055752,0.005364718,0.096903307,targetprofiler-Yes,targetscan-NO,miRanda-NO
HS1BP3,hsa-mir-1266,0.391020132,0.003791328,0.070613944,-0.800288339,0.003091704,0.080606394,targetprofiler-Yes,targetscan-NO,miRanda-NO
WDR17,hsa-mir-590,0.391197107,0.003774145,0.070383577,-0.775624753,0.005024896,0.094791532,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZNF445,hsa-mir-136,0.391670362,0.003728534,0.069763497,-0.778005031,0.004807256,0.093409815,targetprofiler-NO,targetscan-Yes,miRanda-NO
SHC4,hsa-mir-454,0.391906998,0.003705911,0.069457224,-0.775482051,0.005038171,0.094880797,targetprofiler-NO,targetscan-NO,miRanda-Yes
AHI1,hsa-mir-106b,0.391922734,0.003704411,0.069436308,-0.793768405,0.003536691,0.08426388,targetprofiler-Yes,targetscan-NO,miRanda-NO
ABI2,hsa-mir-10b,0.392738175,0.003627402,0.068390558,-0.802773605,0.002933548,0.079292225,targetprofiler-NO,targetscan-Yes,miRanda-NO
KCNK3,hsa-mir-25,0.392766887,0.003624717,0.068352768,-0.827851171,0.001653329,0.065613343,targetprofiler-NO,targetscan-Yes,miRanda-NO
PITPNM2,hsa-mir-93,0.393011612,0.003601898,0.06804126,-0.795115921,0.003441063,0.083499139,targetprofiler-Yes,targetscan-NO,miRanda-NO
